domain,feature_id,feature_name,product,support_status,masterscript_status,gap_type,severity,confidence,actionable_gap,by_design,dependency,evidence_source,evidence_note,measurable_points_count
Writing,writing.block_editing,Block-based screenplay editing,Celtx,supported,present,none,none,high,false,false,,https://www.celtx.com/scriptwriting/; https://www.celtx.com/pre-production/; https://support.celtx.com/hc/en-us; https://www.softwareadvice.com/screenwriting/celtx-profile/,"src/types/screenplay.ts (BlockType enum) | src/lib/screenplay.ts (nextTypeForEnter, cycleBlockType) | src/App.tsx (onBlockTextChange, onBlockTypeChange)",0
Writing,writing.block_editing,Block-based screenplay editing,Kit Scenarist,supported,present,none,none,high,false,false,,https://kitscenarist.ru/en/index.html; https://kitscenarist.ru/en/help/; https://kitscenarist.ru/en/history.html,"src/types/screenplay.ts (BlockType enum) | src/lib/screenplay.ts (nextTypeForEnter, cycleBlockType) | src/App.tsx (onBlockTextChange, onBlockTypeChange)",0
Writing,writing.block_editing,Block-based screenplay editing,Final Draft,supported,present,none,none,high,false,false,,https://www.finaldraft.com/; https://kb.finaldraft.com/; https://www.softwareadvice.com/screenwriting/final-draft-profile/,"src/types/screenplay.ts (BlockType enum) | src/lib/screenplay.ts (nextTypeForEnter, cycleBlockType) | src/App.tsx (onBlockTextChange, onBlockTypeChange)",0
Writing,writing.undo_redo,Undo and redo history,Celtx,supported,present,none,none,high,false,false,,https://www.celtx.com/scriptwriting/; https://www.celtx.com/pre-production/; https://support.celtx.com/hc/en-us; https://www.softwareadvice.com/screenwriting/celtx-profile/,"src/App.tsx (undo, redo, history stack)",0
Writing,writing.undo_redo,Undo and redo history,Kit Scenarist,supported,present,none,none,high,false,false,,https://kitscenarist.ru/en/index.html; https://kitscenarist.ru/en/help/; https://kitscenarist.ru/en/history.html,"src/App.tsx (undo, redo, history stack)",0
Writing,writing.undo_redo,Undo and redo history,Final Draft,supported,present,none,none,high,false,false,,https://www.finaldraft.com/; https://kb.finaldraft.com/; https://www.softwareadvice.com/screenwriting/final-draft-profile/,"src/App.tsx (undo, redo, history stack)",0
Writing,writing.command_palette,Cross-module command palette,Celtx,partial,present,none,none,high,false,false,,https://www.celtx.com/scriptwriting/; https://www.celtx.com/pre-production/; https://support.celtx.com/hc/en-us; https://www.softwareadvice.com/screenwriting/celtx-profile/,src/components/CommandPalette.tsx | src/App.tsx (palette command routing),0
Writing,writing.command_palette,Cross-module command palette,Kit Scenarist,partial,present,none,none,high,false,false,,https://kitscenarist.ru/en/index.html; https://kitscenarist.ru/en/help/; https://kitscenarist.ru/en/history.html,src/components/CommandPalette.tsx | src/App.tsx (palette command routing),0
Writing,writing.command_palette,Cross-module command palette,Final Draft,partial,present,none,none,high,false,false,,https://www.finaldraft.com/; https://kb.finaldraft.com/; https://www.softwareadvice.com/screenwriting/final-draft-profile/,src/components/CommandPalette.tsx | src/App.tsx (palette command routing),0
Planning,planning.story_templates,Story structure templates,Celtx,supported,present,none,none,high,false,false,,https://www.celtx.com/scriptwriting/; https://www.celtx.com/pre-production/; https://support.celtx.com/hc/en-us; https://www.softwareadvice.com/screenwriting/celtx-profile/,"src/lib/planningTemplates.ts (Three Act, Hero's Journey, Eight Sequence) | src/App.tsx (template apply actions)",0
